CPU,Compiler,Test,N,Align,Restrict,Threads/Ranks,TileSize,Time_s,GFLOPS,Speedup_vs_seq,Efficiency_%
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,12288,1,1,24,64,10.66,347.95,53.39,222.46
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,12300,1,1,4,64,18.78,198.21,30.49,762.25
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,12300,1,1,8,64,12.06,308.58,47.47,593.38
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,12300,1,1,16,64,11.14,334.09,51.39,321.19
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,12300,1,1,24,64,10.86,342.86,52.74,219.75
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,16400,1,1,4,64,45.42,194.25,29.9,747.5
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,16400,1,1,8,64,28.66,307.83,47.39,592.38
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,16400,1,1,16,64,27.17,324.68,49.98,312.38
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,16400,1,1,24,64,24.88,354.59,54.58,227.42
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,16384,1,1,4,64,45.62,192.82,29.86,746.5
12th Gen Intel(R) Core(TM) i9-12900K,icx,scalapack,16384,1,1,8,64,29.85,294.64,45.63,570.38
