CPU,Compiler,Test,N,Align,Restrict,Threads/Ranks,TileSize,Time_s,GFLOPS,Speedup
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,12288,1,1,1,128,299.41,12.39,1.9
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,12300,1,1,1,16,105.71,35.21,7.23
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,12300,1,1,1,32,95.71,38.88,7.99
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,12300,1,1,1,64,97.29,38.25,7.86
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,12300,1,1,1,128,122.78,30.31,6.23
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,16384,1,1,1,16,315.1,27.92,4.32
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,16384,1,1,1,32,881.09,9.98,1.55
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,16384,1,1,1,64,960.84,9.15,1.42
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,16384,1,1,1,128,744.12,11.82,1.83
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,16400,1,1,1,16,298.82,29.52,6.07
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,16400,1,1,1,32,253.53,34.8,7.15
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,16400,1,1,1,64,255.23,34.56,7.1
12th Gen Intel(R) Core(TM) i9-12900K,icx,seq-tile,16400,1,1,1,128,419.48,21.03,4.32
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-seq,4096,1,1,1,-,2.21,62.16,8.9
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-seq,4100,1,1,1,-,2.21,62.32,12.24
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-seq,8192,1,1,1,-,17.62,62.41,9.66
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-seq,8200,1,1,1,-,17.65,62.46,12.83
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-seq,12288,1,1,1,-,59.31,62.57,9.6
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-seq,12300,1,1,1,-,59.63,62.41,12.82
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-seq,16384,1,1,1,-,140.87,62.44,9.67
12th Gen Intel(R) Core(TM) i9-12900K,icx,mkl-seq,16400,1,1,1,-,141.35,62.41,12.82
